MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
212,PORTO RICO DO MARANHÃO,MA,1/1/1997,
213,BENJAMIN CONSTANT,AM,1/1/1980,
214,PRESIDENTE MÉDICI,MA,1/1/1997,
215,BOCA DO ACRE,AM,1/1/1980,
216,PRESIDENTE SARNEY,MA,1/1/1997,
217,BORBA,AM,1/1/1980,
218,RAPOSA,MA,1/1/1997,
219,CANUTAMA,AM,1/1/1980,
220,RIBAMAR FIQUENE,MA,1/1/1997,
221,CARAUARI,AM,1/1/1980,
222,SANTA FILOMENA DO MARANHÃO,MA,1/1/1997,
223,CAREIRO,AM,1/1/1980,
224,SANTANA DO MARANHÃO,MA,1/1/1997,
225,COARI,AM,1/1/1980,
226,SANTO AMARO DO MARANHÃO,MA,1/1/1997,
227,CODAJÁS,AM,1/1/1980,
228,SÃO DOMINGOS DO AZEITÃO,MA,1/1/1997,
229,EIRUNEPÉ,AM,1/1/1980,
230,SÃO FRANCISCO DO BREJÃO,MA,1/1/1997,
231,ENVIRA,AM,1/1/1980,
232,SÃO JOÃO DO CARÚ,MA,1/1/1997,
233,FONTE BOA,AM,1/1/1980,
234,SÃO JOÃO DO PARAÍSO,MA,1/1/1997,
235,HUMAITÁ,AM,1/1/1980,
236,SÃO JOÃO DO SOTER,MA,1/1/1997,
237,SANTA ISABEL DO RIO NEGRO,AM,1/1/1980,
238,SÃO JOSÉ DOS BASÍLIOS,MA,1/1/1997,
239,IPIXUNA,AM,1/1/1980,
240,SÃO PEDRO DA ÁGUA BRANCA,MA,1/1/1997,
241,ITACOATIARA,AM,1/1/1980,
242,SÃO PEDRO DOS CRENTES,MA,1/1/1997,
243,ITAPIRANGA,AM,1/1/1980,
244,SÃO RAIMUNDO DO DOCA BEZERRA,MA,1/1/1997,
245,JAPURÁ,AM,1/1/1980,
246,SÃO ROBERTO,MA,1/1/1997,
247,JURUÁ,AM,1/1/1980,
248,SATUBINHA,MA,1/1/1997,
249,JUTAÍ,AM,1/1/1980,
250,SENADOR ALEXANDRE COSTA,MA,1/1/1997,
251,LÁBREA,AM,1/1/1980,
252,SENADOR LA ROCQUE,MA,1/1/1997,
253,MANACAPURU,AM,1/1/1980,
254,SERRANO DO MARANHÃO,MA,1/1/1997,
255,MANAUS,AM,1/1/1980,
256,SUCUPIRA DO RIACHÃO,MA,1/1/1997,
257,MANICORÉ,AM,1/1/1980,
258,TRIZIDELA DO VALE,MA,1/1/1997,
259,MARAÃ,AM,1/1/1980,
260,TUFILÂNDIA,MA,1/1/1997,
261,MAUÉS,AM,1/1/1980,
262,TURILÂNDIA,MA,1/1/1997,
263,NHAMUNDÁ,AM,1/1/1980,
264,VILA NOVA DOS MARTÍRIOS,MA,1/1/1997,
265,NOVA OLINDA DO NORTE,AM,1/1/1980,
266,ACAUÃ,PI,1/1/1997,
267,NOVO ARIPUANÃ,AM,1/1/1980,
268,ALVORADA DO GURGUÉIA,PI,1/1/1997,
269,PARINTINS,AM,1/1/1980,
