ibge_code,name,uf,tom_code,created_at,extinguished_at
3305505,Saquarema,RJ,5909,1980-01-01,
3305604,Silva Jardim,RJ,5911,1980-01-01,
3305703,Sumidouro,RJ,5913,1980-01-01,
3305802,Teresópolis,RJ,5915,1980-01-01,
3305901,Trajano de Moraes,RJ,5917,1980-01-01,
3306008,Três Rios,RJ,5919,1980-01-01,
3306107,Valença,RJ,5921,1980-01-01,
3306206,Vassouras,RJ,5923,1980-01-01,
3306305,Volta Redonda,RJ,5925,1980-01-01,
3300258,Arraial do Cabo,RJ,5927,1986-01-01,
3302056,Italva,RJ,5929,1986-12-31,
4312138,Mato Castelhano,RS,5931,1987-12-15,
4312427,Mormaço,RS,5933,1980-01-01,
4312625,Muliterno,RS,5935,1980-01-01,
4312674,Nicolau Vergueiro,RS,5937,1980-01-01,
4314779,Pontão,RS,5939,1980-01-01,
4317558,Santo Antônio do Palma,RS,5941,1980-01-01,
4301958,Barra Funda,RS,5943,1980-01-01,
4305850,Coqueiros do Sul,RS,5945,1980-01-01,
4306924,Engenho Velho,RS,5947,1980-01-01,
4309126,Gramado dos Loureiros,RS,5949,1980-01-01,
4311270,Lagoa dos Três Cantos,RS,5951,1980-12-10,
4312955,Nova Boa Vista,RS,5953,1990-05-10,
4315552,Rio dos Índios,RS,5955,1980-01-01,
4317756,Santo Antônio do Planalto,RS,5957,1980-01-01,
4301925,Barra do Rio Azul,RS,5959,1980-01-01,
4304853,Carlos Gomes,RS,5961,1980-01-01,
4305116,Centenário,RS,5963,1990-05-10,
4305371,Charrua,RS,5965,1980-01-01,
4314787,Ponte Preta,RS,5967,1980-01-01,
4300646,Ametista do Sul,RS,5969,1993-01-04,
4306429,Dois Irmãos das Missões,RS,5971,1980-01-01,
4313441,Novo Tiradentes,RS,5973,1980-01-01,
4314498,Pinheirinho do Vale,RS,5975,1980-01-01,
4317954,Santo Expedito do Sul,RS,5977,1980-01-01,
4322186,Tupanci do Sul,RS,5979,1980-01-01,
4302154,Boa Vista das Missões,RS,5981,1990-05-10,
4311429,Lajeado do Bugre,RS,5983,1993-01-04,
4313490,Novo Barreiro,RS,5985,1986-04-09,
4316428,Sagrada Família,RS,5987,1980-01-01,
4318457,São José das Missões,RS,5989,1990-05-10,
4313086,Nova Pádua,RS,5991,1980-01-01,
4312385,Monte Belo do Sul,RS,5993,1980-01-01,
4317251,Santa Tereza,RS,5995,1980-01-01,
4319711,São Valentim do Sul,RS,5997,1980-01-01,
4322350,União da Serra,RS,5999,1993-01-04,
3304557,Rio de Janeiro,RJ,6001,1980-01-01,
3302254,Itatiaia,RJ,6003,1990-05-10,
3303856,Paty do Alferes,RJ,6005,1989-01-01,
3304151,Quissamã,RJ,6007,1990-05-10,
3305158,São José do Vale do Rio Preto,RJ,6009,1989-01-01,
3202553,Ibitirama,ES,6011,1990-05-10,
4303673,Campestre da Serra,RS,6013,1993-01-04,
4318622,São José dos Ausentes,RS,6015,1993-01-04,
4311627,Lindolfo Collor,RS,6017,1993-01-04,
4312476,Morro Reuter,RS,6019,1980-01-01,
4314423,Picada Café,RS,6021,1980-01-01,
4315149,Presidente Lucena,RS,6023,1993-01-04,
4304697,Capitão,RS,6025,1980-01-01,
4310579,Itapuca,RS,6027,1980-01-01,
4305587,Colinas,RS,6029,1993-01-04,
4312153,Mato Leitão,RS,6031,1980-01-01,
4316758,Santa Clara do Sul,RS,6033,1980-01-01,
4320453,Sério,RS,6035,1980-01-01,
4321626,Travesseiro,RS,6037,1980-01-01,
4311791,Maratá,RS,6039,1993-01-04,
4314035,Pareci Novo,RS,6041,1980-01-01,
4319356,São Pedro da Serra,RS,6043,1993-01-04,
4300570,Alto Feliz,RS,6045,1993-01-04,
4311643,Linha Nova,RS,6047,1993-01-04,
4322541,Vale Real,RS,6049,1993-01-04,
4310413,Inhacorá,RS,6051,1986-12-10,
4323754,Vitória das Missões,RS,6053,1980-01-01,
4305871,Coronel Barros,RS,6055,1980-01-01,
4313425,Novo Machado,RS,6057,1980-01-01,
4318499,São José do Inhacorá,RS,6059,1980-01-01,
4316477,Salvador das Missões,RS,6061,1980-01-01,
4319372,São Pedro do Butiá,RS,6063,1980-01-01,
4315057,Porto Mauá,RS,6065,1980-01-01,
4315073,Porto Vera Cruz,RS,6067,1980-01-01,
4301859,Barra do Guarita,RS,6069,1980-01-01,
4302378,Bom Progresso,RS,6071,1980-01-01,
4306320,Derrubadas,RS,6073,1980-01-01,
4319737,São Valério do Sul,RS,6075,1980-01-01,
4321477,Tiradentes do Sul,RS,6077,1980-01-01,
4311759,Manoel Viana,RS,6079,1980-01-01,
4308656,Garruchos,RS,6081,1980-01-01,
4304358,Candiota,RS,6083,1980-01-01,
4309654,Hulha Negra,RS,6085,1980-01-01,
5107297,São José do Povo,MT,6087,1980-01-01,
3500105,Adamantina,SP,6101,1980-01-01,
3500204,Adolfo,SP,6103,1980-01-01,
3500303,Aguaí,SP,6105,1980-01-01,
3500402,Águas da Prata,SP,6107,1980-01-01,
3500501,Águas de Lindóia,SP,6109,1980-01-01,
3500600,Águas de São Pedro,SP,6111,1980-01-01,
3500709,Agudos,SP,6113,1980-01-01,
3500808,Alfredo Marcondes,SP,6115,1980-01-01,
3500907,Altair,SP,6117,1980-01-01,
3501004,Altinópolis,SP,6119,1980-01-01,
3501103,Alto Alegre,SP,6121,1980-01-01,
3501202,Álvares Florence,SP,6123,1980-01-01,
3501301,Álvares Machado,SP,6125,1980-01-01,
3501400,Álvaro de Carvalho,SP,6127,1980-01-01,
3501509,Alvinlândia,SP,6129,1980-01-01,
3501608,Americana,SP,6131,1980-01-01,
3501707,Américo Brasiliense,SP,6133,1980-01-01,
3501806,Américo de Campos,SP,6135,1980-01-01,
3501905,Amparo,SP,6137,1980-01-01,
3502002,Analândia,SP,6139,1980-01-01,
3502101,Andradina,SP,6141,1980-01-01,
3502200,Angatuba,SP,6143,1980-01-01,
3502309,Anhembi,SP,6145,1980-01-01,
3502408,Anhumas,SP,6147,1980-01-01,
3502507,Aparecida,SP,6149,1980-01-01,
3502606,Aparecida d'Oeste,SP,6151,1980-01-01,
3502705,Apiaí,SP,6153,1980-01-01,
3502804,Araçatuba,SP,6155,1980-01-01,
3502903,Araçoiaba da Serra,SP,6157,1980-01-01,
3503000,Aramina,SP,6159,1980-01-01,
3503109,Arandu,SP,6161,1980-01-01,
3503208,Araraquara,SP,6163,1980-01-01,
3503307,Araras,SP,6165,1980-01-01,
3503406,Arealva,SP,6167,1980-01-01,
3503505,Areias,SP,6169,1980-01-01,
3503604,Areiópolis,SP,6171,1980-01-01,
3503703,Ariranha,SP,6173,1980-01-01,
3503802,Artur Nogueira,SP,6175,1980-01-01,
3503901,Arujá,SP,6177,1980-01-01,
3504008,Assis,SP,6179,1980-01-01,
3504107,Atibaia,SP,6181,1980-01-01,
3504206,Auriflama,SP,6183,1980-01-01,
3504305,Avaí,SP,6185,1980-01-01,
3504404,Avanhandava,SP,6187,1980-01-01,
3504503,Avaré,SP,6189,1980-01-01,
3504602,Bady Bassitt,SP,6191,1980-01-01,
3504701,Balbinos,SP,6193,1980-01-01,
3504800,Bálsamo,SP,6195,1980-01-01,
3504909,Bananal,SP,6197,1980-01-01,
3505104,Barbosa,SP,6199,1980-01-01,
3505005,Barão de Antonina,SP,6201,1980-01-01,
3505203,Bariri,SP,6203,1980-01-01,
3505302,Barra Bonita,SP,6205,1980-01-01,
3505401,Barra do Turvo,SP,6207,1980-01-01,
3505500,Barretos,SP,6209,1980-01-01,
3505609,Barrinha,SP,6211,1980-01-01,
3505708,Barueri,SP,6213,1980-01-01,
3505807,Bastos,SP,6215,1980-01-01,
3505906,Batatais,SP,6217,1980-01-01,
3506003,Bauru,SP,6219,1980-01-01,
3506102,Bebedouro,SP,6221,1980-01-01,
3506201,Bento de Abreu,SP,6223,1980-01-01,
3506300,Bernardino de Campos,SP,6225,1980-01-01,
3506409,Bilac,SP,6227,1980-01-01,
3506508,Birigui,SP,6229,1980-01-01,
3506607,Biritiba Mirim,SP,6231,1980-01-01,
3506706,Boa Esperança do Sul,SP,6233,1980-01-01,
3506805,Bocaina,SP,6235,1980-01-01,
3506904,Bofete,SP,6237,1980-01-01,
3507001,Boituva,SP,6239,1980-01-01,
3507100,Bom Jesus dos Perdões,SP,6241,1980-01-01,
